,source,target,type
5,Sirius Black,Hermione Granger,1
6,Sirius Black,Bellatrix Lestrange,0
7,Sirius Black,Remus Lupin,1
8,Sirius Black,Lucius Malfoy,0
10,Sirius Black,Minerva McGonagall,1
13,Sirius Black,Harry Potter,1
16,Sirius Black,Lord Voldemort,0
17,Sirius Black,Severus Snape,0
19,Sirius Black,Arthur Weasley,1
22,Sirius Black,Ginny Weasley,1
23,Sirius Black,Ron Weasley,1
27,Cho Chang,Cedric Diggory,1
29,Cho Chang,Hermione Granger,1
30,Cho Chang,Neville Longbottom,1
31,Cho Chang,Harry Potter,1
32,Cho Chang,Lord Voldemort,0
33,Cho Chang,Ron Weasley,1
44,Vincent Crabbe,Gregory Goyle,1
45,Vincent Crabbe,Hermione Granger,0
46,Vincent Crabbe,Draco Malfoy,1
47,Vincent Crabbe,Harry Potter,0
48,Vincent Crabbe,Ron Weasley,0
71,Cedric Diggory,Cho Chang,1
72,Cedric Diggory,Harry Potter,1
73,Cedric Diggory,Lord Voldemort,0
122,Argus Filch,Sirius Black,0
124,Argus Filch,Rubeus Hagrid,0
125,Argus Filch,Minerva McGonagall,0
127,Argus Filch,Harry Potter,0
129,Argus Filch,Severus Snape,1
152,Gregory Goyle,Vincent Crabbe,1
153,Gregory Goyle,Draco Malfoy,1
154,Gregory Goyle,Harry Potter,0
155,Gregory Goyle,Lord Voldemort,1
156,Hermione Granger,Harry Potter,1
157,Hermione Granger,Ron Weasley,1
160,Hermione Granger,Severus Snape,1
161,Hermione Granger,Luna Lovegood,1
162,Hermione Granger,Neville Longbottom,1
163,Hermione Granger,Lord Voldemort,0
165,Hermione Granger,Draco Malfoy,0
166,Hermione Granger,Argus Filch,0
167,Hermione Granger,Gregory Goyle,0
168,Rubeus Hagrid,Lord Voldemort,0
172,Rubeus Hagrid,Ron Weasley,1
173,Rubeus Hagrid,Hermione Granger,1
174,Rubeus Hagrid,Severus Snape,1
175,Rubeus Hagrid,Harry Potter,1
176,Rubeus Hagrid,Neville Longbottom,1
178,Rubeus Hagrid,Minerva McGonagall,1
187,Bellatrix Lestrange,Lord Voldemort,1
188,Bellatrix Lestrange,Lucius Malfoy,1
190,Bellatrix Lestrange,Sirius Black,0
191,Bellatrix Lestrange,Harry Potter,0
201,Neville Longbottom,Harry Potter,1
202,Neville Longbottom,Lord Voldemort,0
203,Neville Longbottom,Hermione Granger,1
204,Neville Longbottom,Ron Weasley,1
205,Neville Longbottom,Luna Lovegood,1
206,Neville Longbottom,Draco Malfoy,0
207,Luna Lovegood,Neville Longbottom,1
208,Luna Lovegood,Harry Potter,1
209,Luna Lovegood,Hermione Granger,1
210,Luna Lovegood,Ron Weasley,1
213,Remus Lupin,Lord Voldemort,0
215,Remus Lupin,Sirius Black,1
217,Remus Lupin,Harry Potter,1
218,Remus Lupin,Minerva McGonagall,1
219,Draco Malfoy,Vincent Crabbe,1
220,Draco Malfoy,Gregory Goyle,1
221,Draco Malfoy,Lucius Malfoy,1
223,Draco Malfoy,Harry Potter,0
224,Draco Malfoy,Hermione Granger,0
225,Draco Malfoy,Ron Weasley,0
226,Lucius Malfoy,Draco Malfoy,1
228,Lucius Malfoy,Lord Voldemort,1
229,Lucius Malfoy,Harry Potter,0
238,Minerva McGonagall,Argus Filch,1
239,Minerva McGonagall,Rubeus Hagrid,1
241,Minerva McGonagall,Lord Voldemort,0
243,Minerva McGonagall,Harry Potter,1
244,Harry Potter,Minerva McGonagall,1
245,Minerva McGonagall,Hermione Granger,1
246,Hermione Granger,Minerva McGonagall,1
247,Minerva McGonagall,Ron Weasley,1
248,Ron Weasley,Minerva McGonagall,1
249,Minerva McGonagall,Lord Voldemort,0
250,Lord Voldemort,Minerva McGonagall,0
257,Harry Potter,Lord Voldemort,0
316,Severus Snape,Harry Potter,1
317,Harry Potter,Severus Snape,1
318,Severus Snape,Hermione Granger,1
319,Hermione Granger,Severus Snape,1
320,Severus Snape,Hermione Granger,1
321,Hermione Granger,Severus Snape,1
326,Severus Snape,Lord Voldemort,0
327,Lord Voldemort,Severus Snape,0
341,Arthur Weasley,Hermione Granger,1
342,Arthur Weasley,Sirius Black,1
344,Arthur Weasley,Lucius Malfoy,0
345,Arthur Weasley,Harry Potter,1
346,Hermione Granger,Arthur Weasley,1
357,Arthur Weasley,Ginny Weasley,1
358,Ginny Weasley,Arthur Weasley,1
423,Ginny Weasley,Hermione Granger,1
424,Ginny Weasley,Remus Lupin,1
426,Ginny Weasley,Harry Potter,1
427,Ginny Weasley,Lord Voldemort,0
428,Ginny Weasley,Severus Snape,1
429,Ginny Weasley,Arthur Weasley,1
437,Ginny Weasley,Ron Weasley,1
460,Ron Weasley,Sirius Black,1
463,Ron Weasley,Argus Filch,0
465,Ron Weasley,Gregory Goyle,0
466,Ron Weasley,Hermione Granger,1
467,Ron Weasley,Rubeus Hagrid,1
468,Ron Weasley,Bellatrix Lestrange,0
469,Ron Weasley,Neville Longbottom,1
470,Ron Weasley,Luna Lovegood,1
471,Ron Weasley,Remus Lupin,1
472,Ron Weasley,Draco Malfoy,0
473,Ron Weasley,Lucius Malfoy,0
474,Ron Weasley,Minerva McGonagall,1
477,Ron Weasley,Harry Potter,1
478,Ron Weasley,Lord Voldemort,0
479,Ron Weasley,Severus Snape,1
481,Ron Weasley,Arthur Weasley,1
486,Ron Weasley,Ginny Weasley,1
